time,date,match,stadium
14:00,03.23(토),삼성vsNC,창원
14:00,03.24(일),삼성vsNC,창원
18:30,03.26(화),삼성vs롯데,사직
18:30,03.27(수),삼성vs롯데,사직
18:30,03.28(목),삼성vs롯데,사직
18:30,03.29(금),두산vs삼성,대구
17:00,03.30(토),두산vs삼성,대구
14:00,03.31(일),두산vs삼성,대구
18:30,04.02(화),KIAvs삼성,대구
18:30,04.03(수),KIAvs삼성,대구
18:30,04.04(목),KIAvs삼성,대구
18:30,04.05(금),삼성vsSK,문학
17:00,04.06(토),삼성vsSK,문학
14:00,04.07(일),삼성vsSK,문학
18:30,04.09(화),삼성vsLG,잠실
18:30,04.10(수),삼성vsLG,잠실
18:30,04.11(목),삼성vsLG,잠실
18:30,04.12(금),KTvs삼성,대구
17:00,04.13(토),KTvs삼성,대구
14:00,04.14(일),KTvs삼성,대구
18:30,04.16(화),키움vs삼성,대구
18:30,04.17(수),키움vs삼성,대구
18:30,04.18(목),키움vs삼성,대구
18:30,04.19(금),삼성vs한화,대전
17:00,04.20(토),삼성vs한화,대전
14:00,04.21(일),삼성vs한화,대전
18:30,04.23(화),SKvs삼성,대구
18:30,04.24(수),SKvs삼성,대구
18:30,04.25(목),SKvs삼성,대구
18:30,04.26(금),LGvs삼성,대구
17:00,04.27(토),LGvs삼성,대구
14:00,04.28(일),LGvs삼성,대구
18:30,04.30(화),삼성vsKIA,광주
18:30,05.01(수),삼성vsKIA,광주
18:30,05.02(목),삼성vsKIA,광주
18:30,05.03(금),삼성vs키움,고척
17:00,05.04(토),삼성vs키움,고척
14:00,05.05(일),삼성vs키움,고척
18:30,05.07(화),NCvs삼성,대구
18:30,05.08(수),NCvs삼성,대구
18:30,05.09(목),NCvs삼성,대구
18:30,05.10(금),롯데vs삼성,대구
17:00,05.11(토),롯데vs삼성,대구
14:00,05.12(일),롯데vs삼성,대구
18:30,05.14(화),삼성vs두산,잠실
18:30,05.15(수),삼성vs두산,잠실
18:30,05.16(목),삼성vs두산,잠실
18:30,05.17(금),삼성vsKT,수원
17:00,05.18(토),삼성vsKT,수원
14:00,05.19(일),삼성vsKT,수원
18:30,05.21(화),한화vs삼성,대구
18:30,05.22(수),한화vs삼성,대구
18:30,05.23(목),한화vs삼성,대구
18:30,05.24(금),키움vs삼성,대구
17:00,05.25(토),키움vs삼성,대구
14:00,05.26(일),키움vs삼성,대구
18:30,05.28(화),삼성vs두산,잠실
18:30,05.29(수),삼성vs두산,잠실
18:30,05.30(목),삼성vs두산,잠실
18:30,05.31(금),삼성vs롯데,사직
17:00,06.01(토),삼성vs롯데,사직
17:00,06.02(일),삼성vs롯데,사직
18:30,06.04(화),NCvs삼성,대구
18:30,06.05(수),NCvs삼성,대구
17:00,06.06(목),NCvs삼성,대구
18:30,06.07(금),삼성vsSK,문학
17:00,06.08(토),삼성vsSK,문학
17:00,06.09(일),삼성vsSK,문학
18:30,06.11(화),삼성vsKIA,광주
18:30,06.12(수),삼성vsKIA,광주
18:30,06.13(목),삼성vsKIA,광주
18:30,06.14(금),KTvs삼성,대구
17:00,06.15(토),KTvs삼성,대구
17:00,06.16(일),KTvs삼성,대구
18:30,06.18(화),LGvs삼성,대구
18:30,06.19(수),LGvs삼성,대구
18:30,06.20(목),LGvs삼성,대구
18:30,06.21(금),삼성vs한화,대전
17:00,06.22(토),삼성vs한화,대전
17:00,06.23(일),삼성vs한화,대전
18:30,06.25(화),두산vs삼성,대구
18:30,06.26(수),두산vs삼성,대구
18:30,06.27(목),두산vs삼성,대구
18:30,06.28(금),SKvs삼성,대구
17:00,06.29(토),SKvs삼성,대구
17:00,06.30(일),SKvs삼성,대구
18:30,07.02(화),삼성vsKT,수원
18:30,07.03(수),삼성vsKT,수원
18:30,07.04(목),삼성vsKT,수원
18:30,07.05(금),삼성vsNC,창원
18:00,07.06(토),삼성vsNC,창원
18:00,07.07(일),삼성vsNC,창원
18:30,07.09(화),KIAvs삼성,대구
18:30,07.10(수),KIAvs삼성,대구
18:30,07.11(목),KIAvs삼성,대구
18:30,07.12(금),삼성vsLG,잠실
18:00,07.13(토),삼성vsLG,잠실
18:00,07.14(일),삼성vsLG,잠실
18:30,07.16(화),삼성vs키움,고척
18:30,07.17(수),삼성vs키움,고척
18:30,07.18(목),삼성vs키움,고척
18:30,07.26(금),한화vs삼성,대구
18:00,07.27(토),한화vs삼성,대구
18:00,07.28(일),한화vs삼성,대구
18:30,07.30(화),롯데vs삼성,대구
18:30,07.31(수),롯데vs삼성,대구
